ticket_id,tech,priority,type,tags,created,completed_minutes,eta_minutes,overran,had_followup,reticketed,time_to_reopen_days,redundancy_risk,impact,tech_skill,tech_tags
HIST-1096,Ivan,High,swap_psu,server|power|electrical,2025-03-23T01:03:18Z,32.1,18,1,0,0,0,1,3,1,staging|inventory
HIST-1097,Chen,High,swap_psu,server|power|electrical,2025-03-23T02:03:18Z,44.3,21,1,0,0,0,0,3,3,hvac|facilities
HIST-1098,Ava,Medium,audit_label,inventory|labeling,2025-03-22T17:03:18Z,6.9,9,0,0,0,0,0,2,5,server|network
HIST-1099,Dia,Medium,reseat_blade,server|repair,2025-03-22T22:03:18Z,17.3,15,1,0,0,0,0,2,4,server|install
HIST-1100,Gus,Critical,swap_psu,server|power|electrical,2025-03-23T09:03:18Z,11.4,18,0,0,1,10,0,4,3,server|cabling
HIST-1101,Hana,Low,recable_port,network|cabling|optic,2025-03-23T00:03:18Z,23.6,20,1,0,0,0,1,1,4,hvac|electrical
HIST-1102,Dia,Low,reseat_blade,server|repair,2025-03-23T01:03:18Z,56.6,24,1,0,0,0,0,1,4,server|install
HIST-1103,Dia,Medium,install_server,server|install|rails,2025-03-23T06:03:18Z,30.9,34,0,0,0,0,0,2,4,server|install
HIST-1104,Gus,Medium,audit_label,inventory|labeling,2025-03-22T15:03:18Z,5.6,7,0,0,0,0,2,2,3,server|cabling
HIST-1105,Ben,Medium,recable_port,network|cabling|optic,2025-03-23T10:03:18Z,29.7,18,1,0,0,0,2,2,4,network|cabling
HIST-1106,Hana,Low,recable_port,network|cabling|optic,2025-03-22T19:03:18Z,14.0,18,0,0,0,0,0,1,4,hvac|electrical
HIST-1107,Eli,High,audit_label,inventory|labeling,2025-03-23T09:03:18Z,5.9,6,0,0,1,2,0,3,2,server|labeling
HIST-1108,Gus,Medium,audit_label,inventory|labeling,2025-03-23T05:03:18Z,6.6,8,0,1,1,2,2,2,3,server|cabling
HIST-1109,Dia,High,reseat_blade,server|repair,2025-03-23T23:03:18Z,6.3,13,0,0,1,6,0,3,4,server|install
HIST-1110,Chen,Medium,install_server,server|install|rails,2025-03-24T08:03:18Z,97.1,31,1,0,0,0,0,2,3,hvac|facilities
HIST-1111,Jia,High,reseat_blade,server|repair,2025-03-24T08:03:18Z,6.7,10,0,0,0,0,0,3,5,server|repair
HIST-1112,Ava,Low,swap_psu,server|power|electrical,2025-03-23T20:03:18Z,101.0,30,1,0,0,0,1,1,5,server|network
HIST-1113,Jia,High,reseat_blade,server|repair,2025-03-23T20:03:18Z,9.5,11,0,0,1,7,2,3,5,server|repair
HIST-1114,Jia,Low,reseat_blade,server|repair,2025-03-24T07:03:18Z,33.2,18,1,0,0,0,1,1,5,server|repair
HIST-1115,Gus,Medium,reseat_blade,server|repair,2025-03-24T04:03:18Z,12.3,13,0,0,0,0,1,2,3,server|cabling
HIST-1116,Farah,Medium,audit_label,inventory|labeling,2025-03-24T02:03:18Z,14.8,11,1,0,0,0,0,2,3,network|optic
HIST-1117,Ben,Low,install_server,server|install|rails,2025-03-24T10:03:18Z,38.8,39,0,0,1,0,0,1,4,network|cabling
HIST-1118,Ava,Critical,audit_label,inventory|labeling,2025-03-24T07:03:18Z,5.6,6,0,0,0,0,1,4,5,server|network
HIST-1119,Eli,Medium,install_server,server|install|rails,2025-03-23T15:03:18Z,45.2,38,1,0,1,13,0,2,2,server|labeling
HIST-1120,Jia,Medium,install_server,server|install|rails,2025-03-25T04:03:18Z,50.2,46,0,0,0,0,0,2,5,server|repair
HIST-1121,Farah,Critical,swap_psu,server|power|electrical,2025-03-24T22:03:18Z,21.1,19,0,0,0,0,0,4,3,network|optic
HIST-1122,Ava,High,recable_port,network|cabling|optic,2025-03-25T10:03:18Z,12.2,16,0,0,0,0,2,3,5,server|network
HIST-1123,Ben,Medium,recable_port,network|cabling|optic,2025-03-24T22:03:18Z,17.7,18,0,0,0,0,0,2,4,network|cabling
HIST-1124,Jia,Medium,audit_label,inventory|labeling,2025-03-25T04:03:18Z,26.8,13,1,0,0,0,1,2,5,server|repair
HIST-1125,Chen,Medium,audit_label,inventory|labeling,2025-03-26T05:03:18Z,15.7,8,1,0,0,0,2,2,3,hvac|facilities
HIST-1126,Ben,Medium,recable_port,network|cabling|optic,2025-03-26T10:03:18Z,22.2,18,1,0,0,0,2,2,4,network|cabling
HIST-1127,Ava,High,recable_port,network|cabling|optic,2025-03-26T06:03:18Z,16.5,11,1,0,0,0,0,3,5,server|network
HIST-1128,Ivan,High,install_server,server|install|rails,2025-03-26T01:03:18Z,24.8,40,0,0,0,0,1,3,1,staging|inventory
HIST-1129,Ivan,Medium,install_server,server|install|rails,2025-03-26T01:03:18Z,45.6,37,1,0,0,0,0,2,1,staging|inventory
HIST-1130,Jia,High,swap_psu,server|power|electrical,2025-03-25T17:03:18Z,18.2,20,0,0,0,0,0,3,5,server|repair
HIST-1131,Eli,High,recable_port,network|cabling|optic,2025-03-25T23:03:18Z,14.3,15,0,1,1,1,0,3,2,server|labeling
HIST-1132,Dia,High,audit_label,inventory|labeling,2025-03-26T09:03:18Z,16.9,8,1,0,0,0,1,3,4,server|install
HIST-1133,Ben,Critical,install_server,server|install|rails,2025-03-26T04:03:18Z,19.0,20,0,0,0,0,0,4,4,network|cabling
HIST-1134,Jia,Medium,swap_psu,server|power|electrical,2025-03-25T16:03:18Z,25.5,22,1,0,0,0,2,2,5,server|repair
HIST-1135,Jia,Critical,install_server,server|install|rails,2025-03-25T19:03:18Z,16.5,33,0,0,0,0,0,4,5,server|repair
HIST-1136,Jia,Medium,recable_port,network|cabling|optic,2025-03-27T02:03:18Z,19.7,13,1,0,0,0,2,2,5,server|repair
HIST-1137,Hana,Critical,audit_label,inventory|labeling,2025-03-26T18:03:18Z,6.2,6,0,0,0,0,0,4,4,hvac|electrical
HIST-1138,Farah,Low,recable_port,network|cabling|optic,2025-03-27T03:03:18Z,15.3,17,0,0,0,0,0,1,3,network|optic
HIST-1139,Ava,Medium,recable_port,network|cabling|optic,2025-03-27T04:03:18Z,27.3,21,1,0,0,0,0,2,5,server|network
HIST-1140,Hana,Medium,swap_psu,server|power|electrical,2025-03-27T01:03:18Z,47.6,27,1,0,0,0,0,2,4,hvac|electrical
HIST-1141,Farah,High,reseat_blade,server|repair,2025-03-26T22:03:18Z,38.7,15,1,0,0,0,2,3,3,network|optic
HIST-1142,Eli,Medium,swap_psu,server|power|electrical,2025-03-26T17:03:18Z,36.4,23,1,0,0,0,1,2,2,server|labeling
HIST-1143,Jia,High,reseat_blade,server|repair,2025-03-26T16:03:18Z,13.2,13,0,0,0,0,0,3,5,server|repair
HIST-1144,Jia,High,swap_psu,server|power|electrical,2025-03-27T04:03:18Z,26.1,17,1,0,0,0,1,3,5,server|repair
HIST-1145,Ava,Low,recable_port,network|cabling|optic,2025-03-26T19:03:18Z,22.6,16,1,1,1,2,0,1,5,server|network
HIST-1146,Ivan,High,reseat_blade,server|repair,2025-03-26T22:03:18Z,25.2,13,1,0,0,0,0,3,1,staging|inventory
HIST-1147,Farah,Low,audit_label,inventory|labeling,2025-03-27T21:03:18Z,9.1,12,0,0,0,0,0,1,3,network|optic
HIST-1148,Chen,Medium,install_server,server|install|rails,2025-03-28T03:03:18Z,36.2,33,0,0,0,0,1,2,3,hvac|facilities
HIST-1149,Dia,Low,audit_label,inventory|labeling,2025-03-28T03:03:18Z,7.7,10,0,1,1,10,0,1,4,server|install
HIST-1150,Ivan,High,audit_label,inventory|labeling,2025-03-28T07:03:18Z,14.6,8,1,0,0,0,1,3,1,staging|inventory
HIST-1151,Farah,Medium,reseat_blade,server|repair,2025-03-28T06:03:18Z,5.8,17,0,0,0,0,0,2,3,network|optic
HIST-1152,Gus,Medium,audit_label,inventory|labeling,2025-03-27T16:03:18Z,11.2,10,0,0,0,0,1,2,3,server|cabling
HIST-1153,Gus,Medium,reseat_blade,server|repair,2025-03-27T21:03:18Z,36.2,16,1,0,0,0,2,2,3,server|cabling
HIST-1154,Hana,Medium,recable_port,network|cabling|optic,2025-03-27T16:03:18Z,9.6,12,0,0,0,0,0,2,4,hvac|electrical
HIST-1155,Eli,High,swap_psu,server|power|electrical,2025-03-27T17:03:18Z,10.5,21,0,0,0,0,0,3,2,server|labeling
HIST-1156,Dia,Medium,reseat_blade,server|repair,2025-03-27T21:03:18Z,23.2,19,1,0,1,4,0,2,4,server|install
HIST-1157,Eli,Medium,swap_psu,server|power|electrical,2025-03-27T19:03:18Z,19.5,24,0,0,1,4,1,2,2,server|labeling
HIST-1158,Eli,High,recable_port,network|cabling|optic,2025-03-27T15:03:18Z,33.2,18,1,0,1,0,0,3,2,server|labeling
HIST-1159,Ben,Critical,recable_port,network|cabling|optic,2025-03-27T19:03:18Z,15.7,14,0,0,0,0,0,4,4,network|cabling
HIST-1160,Gus,Medium,recable_port,network|cabling|optic,2025-03-28T03:03:18Z,12.7,18,0,0,0,0,0,2,3,server|cabling
HIST-1161,Dia,Critical,swap_psu,server|power|electrical,2025-03-28T07:03:18Z,16.6,17,0,0,0,0,0,4,4,server|install
HIST-1162,Jia,High,install_server,server|install|rails,2025-03-29T08:03:18Z,34.8,46,0,0,1,10,0,3,5,server|repair
HIST-1163,Farah,Low,recable_port,network|cabling|optic,2025-03-28T23:03:18Z,19.3,17,0,0,0,0,0,1,3,network|optic
HIST-1164,Ivan,Medium,recable_port,network|cabling|optic,2025-03-29T05:03:18Z,21.7,20,0,0,1,0,0,2,1,staging|inventory
HIST-1165,Hana,High,swap_psu,server|power|electrical,2025-03-28T18:03:18Z,36.7,24,1,0,0,0,1,3,4,hvac|electrical
HIST-1166,Hana,Medium,recable_port,network|cabling|optic,2025-03-28T18:03:18Z,27.5,20,1,0,0,0,0,2,4,hvac|electrical
HIST-1167,Gus,High,install_server,server|install|rails,2025-03-28T22:03:18Z,49.3,51,0,0,0,0,0,3,3,server|cabling
HIST-1168,Jia,Critical,reseat_blade,server|repair,2025-03-29T00:03:18Z,12.4,7,1,0,0,0,0,4,5,server|repair
HIST-1169,Farah,Low,swap_psu,server|power|electrical,2025-03-28T19:03:18Z,25.1,22,0,0,0,0,0,1,3,network|optic
HIST-1170,Jia,Critical,recable_port,network|cabling|optic,2025-03-28T16:03:18Z,8.8,17,0,0,0,0,0,4,5,server|repair
HIST-1171,Ava,High,install_server,server|install|rails,2025-03-29T04:03:18Z,16.0,30,0,0,0,0,0,3,5,server|network
HIST-1172,Ben,Medium,install_server,server|install|rails,2025-03-29T05:03:18Z,45.6,35,1,0,0,0,0,2,4,network|cabling
HIST-1173,Ivan,Medium,swap_psu,server|power|electrical,2025-03-29T17:03:18Z,35.3,23,1,0,0,0,0,2,1,staging|inventory
HIST-1174,Hana,Critical,install_server,server|install|rails,2025-03-29T22:03:18Z,54.5,36,1,0,1,0,0,4,4,hvac|electrical
HIST-1175,Ivan,High,swap_psu,server|power|electrical,2025-03-30T09:03:18Z,28.2,20,1,1,1,1,2,3,1,staging|inventory
HIST-1176,Jia,Medium,reseat_blade,server|repair,2025-03-29T17:03:18Z,13.0,14,0,0,0,0,0,2,5,server|repair
HIST-1177,Dia,Medium,swap_psu,server|power|electrical,2025-03-30T01:03:18Z,33.1,22,1,0,0,0,0,2,4,server|install
HIST-1178,Chen,Medium,reseat_blade,server|repair,2025-03-30T08:03:18Z,21.0,15,1,0,0,0,0,2,3,hvac|facilities
HIST-1179,Farah,High,recable_port,network|cabling|optic,2025-03-30T02:03:18Z,14.8,15,0,0,0,0,2,3,3,network|optic
HIST-1180,Ava,Medium,audit_label,inventory|labeling,2025-03-29T21:03:18Z,4.8,11,0,0,0,0,1,2,5,server|network
HIST-1181,Gus,Medium,install_server,server|install|rails,2025-03-30T09:03:18Z,16.8,32,0,0,0,0,0,2,3,server|cabling
HIST-1182,Chen,Medium,recable_port,network|cabling|optic,2025-03-29T20:03:18Z,8.5,11,0,0,0,0,0,2,3,hvac|facilities
HIST-1183,Jia,Medium,reseat_blade,server|repair,2025-03-30T09:03:18Z,15.2,17,0,0,0,0,1,2,5,server|repair
HIST-1184,Ben,Critical,recable_port,network|cabling|optic,2025-03-29T17:03:18Z,22.1,14,1,0,0,0,0,4,4,network|cabling
HIST-1185,Ivan,Medium,swap_psu,server|power|electrical,2025-03-29T22:03:18Z,27.1,26,0,0,0,0,0,2,1,staging|inventory
HIST-1186,Dia,Medium,install_server,server|install|rails,2025-03-30T06:03:18Z,50.8,48,0,0,0,0,1,2,4,server|install
HIST-1187,Chen,Medium,recable_port,network|cabling|optic,2025-03-29T19:03:18Z,12.0,15,0,0,1,9,1,2,3,hvac|facilities
HIST-1188,Jia,Low,reseat_blade,server|repair,2025-03-30T08:03:18Z,10.1,14,0,0,0,0,1,1,5,server|repair
HIST-1189,Dia,Low,reseat_blade,server|repair,2025-03-30T09:03:18Z,25.1,17,1,0,0,0,2,1,4,server|install
HIST-1190,Eli,Medium,install_server,server|install|rails,2025-03-31T09:03:18Z,42.0,42,0,0,0,0,1,2,2,server|labeling
HIST-1191,Ben,Low,audit_label,inventory|labeling,2025-03-31T01:03:18Z,14.7,9,1,0,0,0,2,1,4,network|cabling
HIST-1192,Farah,Low,recable_port,network|cabling|optic,2025-03-30T18:03:18Z,14.8,18,0,0,0,0,1,1,3,network|optic
HIST-1193,Farah,Medium,recable_port,network|cabling|optic,2025-03-30T16:03:18Z,11.7,15,0,0,0,0,0,2,3,network|optic
HIST-1194,Ava,High,reseat_blade,server|repair,2025-03-30T19:03:18Z,14.2,15,0,0,0,0,0,3,5,server|network
HIST-1195,Ivan,Critical,swap_psu,server|power|electrical,2025-03-31T20:03:18Z,20.0,22,0,0,0,0,0,4,1,staging|inventory
HIST-1196,Gus,Medium,recable_port,network|cabling|optic,2025-04-01T05:03:18Z,24.8,14,1,0,0,0,0,2,3,server|cabling
HIST-1197,Ivan,Medium,audit_label,inventory|labeling,2025-04-01T09:03:18Z,16.1,9,1,1,1,0,2,2,1,staging|inventory
HIST-1198,Hana,High,install_server,server|install|rails,2025-03-31T23:03:18Z,39.9,40,0,0,0,0,0,3,4,hvac|electrical
HIST-1199,Gus,High,reseat_blade,server|repair,2025-04-01T00:03:18Z,37.1,14,1,0,0,0,2,3,3,server|cabling
HIST-1200,Ava,High,swap_psu,server|power|electrical,2025-04-01T10:03:18Z,27.4,26,0,0,0,0,0,3,5,server|network
HIST-1201,Hana,High,reseat_blade,server|repair,2025-04-01T02:03:18Z,24.6,14,1,0,1,13,1,3,4,hvac|electrical
HIST-1202,Chen,Low,audit_label,inventory|labeling,2025-04-01T01:03:18Z,12.8,10,1,0,0,0,0,1,3,hvac|facilities
HIST-1203,Chen,Medium,swap_psu,server|power|electrical,2025-04-01T01:03:18Z,26.5,21,1,0,1,3,0,2,3,hvac|facilities
