ticket_id,asset_tag,failure_tag,priority,type,days_to_fail,redundancy_risk
HIST-1577,pdu-75,cabling,Medium,recable_port,0,2
HIST-1580,pdu-205,network,Medium,recable_port,12,1
HIST-1581,sw-88,inventory,High,audit_label,14,0
HIST-1584,sw-250,server,Medium,swap_psu,0,1
HIST-1586,sfp-44,install,High,install_server,8,0
HIST-1594,pdu-57,server,Critical,reseat_blade,10,2
HIST-1595,srv-129,server,Critical,reseat_blade,1,0
HIST-1599,blade-414,repair,Medium,reseat_blade,3,2
HIST-1601,srv-243,server,Medium,install_server,9,2
HIST-1603,blade-62,rails,High,install_server,7,1
HIST-1606,blade-479,repair,Critical,reseat_blade,4,1
HIST-1608,srv-299,server,High,reseat_blade,0,1
HIST-1613,sw-333,install,Medium,install_server,2,1
HIST-1627,sfp-365,power,Low,swap_psu,13,0
HIST-1631,srv-65,inventory,High,audit_label,13,1
HIST-1639,blade-78,cabling,High,recable_port,4,0
HIST-1644,srv-336,network,Medium,recable_port,6,0
HIST-1649,sfp-128,server,Critical,reseat_blade,4,1
HIST-1659,srv-101,install,High,install_server,4,1
HIST-1661,blade-428,inventory,High,audit_label,14,2
HIST-1671,sw-103,inventory,Low,audit_label,7,0
HIST-1673,sw-454,server,High,reseat_blade,12,1
HIST-1690,sw-296,cabling,Critical,recable_port,0,0
HIST-1691,blade-442,repair,Medium,reseat_blade,0,1
HIST-1693,srv-169,electrical,Medium,swap_psu,0,2
HIST-1694,pdu-484,optic,Medium,recable_port,10,1
HIST-1695,sfp-208,install,Medium,install_server,0,0
HIST-1707,pdu-225,install,Low,install_server,0,1
HIST-1709,pdu-310,inventory,High,audit_label,4,1
HIST-1718,sw-444,rails,Critical,install_server,13,0
HIST-1723,srv-407,network,Medium,recable_port,14,0
HIST-1731,pdu-421,server,Critical,install_server,8,0
HIST-1746,pdu-170,network,High,recable_port,11,0
HIST-1747,sfp-397,inventory,High,audit_label,3,0
HIST-1749,srv-3,repair,High,reseat_blade,3,0
HIST-1758,srv-213,install,Critical,install_server,12,1
HIST-1770,sfp-377,optic,High,recable_port,6,0
HIST-1778,srv-443,server,Medium,swap_psu,3,0
HIST-1779,srv-222,optic,High,recable_port,2,1
HIST-1787,sfp-220,server,Critical,reseat_blade,3,0
HIST-1792,sw-229,labeling,Medium,audit_label,7,0
HIST-1796,sfp-164,install,Medium,install_server,3,0
HIST-1798,blade-15,power,Medium,swap_psu,7,1
HIST-1799,sw-291,labeling,Critical,audit_label,5,1
HIST-1811,pdu-176,install,High,install_server,11,0
HIST-1814,pdu-357,repair,Medium,reseat_blade,2,0
HIST-1815,blade-23,labeling,High,audit_label,1,0
HIST-1820,pdu-481,server,Medium,reseat_blade,0,0
HIST-1834,blade-131,install,High,install_server,8,2
HIST-1839,sfp-410,install,Low,install_server,3,0
HIST-1841,pdu-203,network,Medium,recable_port,13,1
HIST-1844,blade-391,optic,Critical,recable_port,2,0
HIST-1845,srv-156,network,High,recable_port,5,0
HIST-1846,srv-41,rails,Low,install_server,3,1
HIST-1849,pdu-475,network,High,recable_port,0,1
HIST-1856,blade-338,repair,Medium,reseat_blade,5,0
HIST-1858,pdu-349,rails,Low,install_server,9,0
HIST-1863,pdu-159,electrical,Low,swap_psu,12,1
HIST-1869,sw-144,labeling,Low,audit_label,3,0
HIST-1870,pdu-455,server,Critical,reseat_blade,0,2
HIST-1876,blade-55,install,High,install_server,0,1
HIST-1879,sfp-261,optic,Medium,recable_port,11,1
HIST-1881,sfp-103,labeling,Medium,audit_label,13,2
HIST-1883,srv-144,labeling,High,audit_label,0,0
HIST-1887,srv-223,server,Medium,swap_psu,4,2
HIST-1901,pdu-442,install,Medium,install_server,0,1
HIST-1904,srv-371,server,High,install_server,4,0
HIST-1905,pdu-399,cabling,Critical,recable_port,13,1
HIST-1909,srv-484,server,Medium,install_server,0,0
HIST-1913,blade-388,labeling,High,audit_label,5,0
HIST-1915,blade-207,inventory,Medium,audit_label,14,2
HIST-1919,sw-124,repair,Medium,reseat_blade,13,2
HIST-1920,srv-343,inventory,Medium,audit_label,7,2
HIST-1924,srv-238,network,High,recable_port,7,0
HIST-1927,blade-458,server,Medium,reseat_blade,0,2
HIST-1933,sfp-284,rails,High,install_server,6,0
HIST-1935,sw-164,inventory,High,audit_label,7,1
HIST-1951,sw-393,install,Low,install_server,8,0
HIST-1960,blade-35,labeling,Medium,audit_label,13,0
HIST-1961,sw-30,rails,Critical,install_server,0,2
HIST-1967,sw-247,inventory,Medium,audit_label,12,0
HIST-1968,pdu-164,repair,Low,reseat_blade,9,1
HIST-1971,srv-265,network,Low,recable_port,0,1
HIST-1972,sfp-489,power,Medium,swap_psu,0,0
HIST-1973,sw-311,repair,Medium,reseat_blade,0,1
HIST-1974,pdu-495,install,High,install_server,7,2
HIST-1977,sfp-137,inventory,Critical,audit_label,0,1
HIST-1981,sfp-263,server,Critical,reseat_blade,8,1
HIST-1982,srv-479,inventory,Critical,audit_label,5,2
HIST-1989,pdu-254,server,High,install_server,0,0
HIST-1995,sfp-315,install,Low,install_server,7,1
HIST-2015,sw-2,labeling,High,audit_label,1,1
HIST-2018,sfp-460,inventory,Medium,audit_label,0,0
HIST-2020,srv-402,cabling,Critical,recable_port,10,0
HIST-2024,pdu-3,inventory,Low,audit_label,0,1
HIST-2037,sfp-282,server,High,install_server,4,2
HIST-2038,pdu-65,server,High,swap_psu,10,1
HIST-2044,sw-407,network,High,recable_port,2,0
HIST-2045,sw-203,inventory,Critical,audit_label,10,0
HIST-2050,sw-70,rails,Medium,install_server,10,1
HIST-2054,sw-299,server,Medium,reseat_blade,0,0
HIST-2055,blade-431,cabling,Critical,recable_port,0,0
HIST-2071,sfp-398,cabling,Medium,recable_port,6,1
HIST-2075,pdu-274,install,Medium,install_server,11,0
HIST-2083,blade-346,server,High,install_server,13,0
HIST-2094,srv-70,server,Medium,swap_psu,0,1
HIST-2098,srv-239,labeling,High,audit_label,8,0
HIST-2104,pdu-26,repair,High,reseat_blade,10,1
HIST-2106,srv-121,repair,Medium,reseat_blade,2,0
HIST-2107,pdu-356,labeling,Medium,audit_label,0,2
HIST-2118,srv-146,server,Medium,reseat_blade,0,2
HIST-2123,sw-204,install,High,install_server,9,2
HIST-2125,sw-4,electrical,High,swap_psu,12,0
HIST-2134,srv-467,cabling,Medium,recable_port,13,0
HIST-2135,srv-16,server,Medium,reseat_blade,0,1
HIST-2150,blade-375,server,Medium,reseat_blade,0,0
HIST-2152,sfp-41,repair,Medium,reseat_blade,0,2
HIST-2153,pdu-46,electrical,Medium,swap_psu,7,2
HIST-2159,srv-419,optic,High,recable_port,0,1
HIST-2166,pdu-35,optic,High,recable_port,0,0
HIST-2169,sw-215,inventory,High,audit_label,12,1
HIST-2171,sfp-495,network,Medium,recable_port,0,1
HIST-2172,pdu-162,optic,High,recable_port,3,0
HIST-2176,sw-413,labeling,High,audit_label,9,1
HIST-2178,sfp-478,network,Medium,recable_port,1,0
HIST-2187,pdu-353,cabling,High,recable_port,9,1
HIST-2189,blade-13,inventory,High,audit_label,4,0
HIST-2190,pdu-6,cabling,Low,recable_port,0,0
HIST-2200,sfp-424,optic,High,recable_port,4,0
HIST-2206,blade-300,server,High,install_server,3,0
HIST-2216,blade-485,network,Low,recable_port,7,0
HIST-2224,blade-296,server,Medium,reseat_blade,8,2
HIST-2225,pdu-56,optic,High,recable_port,12,0
HIST-2232,blade-161,server,Critical,reseat_blade,8,1
HIST-2234,blade-53,server,Medium,swap_psu,11,1
HIST-2245,srv-8,optic,Medium,recable_port,0,0
HIST-2252,pdu-114,repair,High,reseat_blade,11,0
HIST-2256,sfp-329,install,Medium,install_server,7,2
HIST-2259,blade-99,optic,Medium,recable_port,11,2
HIST-2280,sfp-94,server,Critical,install_server,12,1
HIST-2294,sw-76,server,Low,install_server,7,0
HIST-2295,pdu-200,electrical,Medium,swap_psu,4,2
HIST-2308,blade-109,rails,Critical,install_server,3,1
HIST-2314,blade-406,repair,Medium,reseat_blade,0,0
HIST-2323,blade-43,power,Medium,swap_psu,1,1
HIST-2340,pdu-378,server,High,reseat_blade,13,0
HIST-2345,srv-386,server,Low,swap_psu,0,0
HIST-2356,pdu-142,install,High,install_server,10,2
HIST-2357,sw-35,optic,Medium,recable_port,8,0
HIST-2369,sw-224,repair,High,reseat_blade,0,0
HIST-2376,srv-285,server,High,reseat_blade,7,0
HIST-2395,srv-117,install,Low,install_server,9,0
HIST-2402,srv-154,rails,Medium,install_server,4,1
HIST-2404,sfp-56,power,High,swap_psu,4,1
HIST-2408,srv-95,server,Medium,install_server,0,2
HIST-2413,srv-346,server,Low,swap_psu,1,0
HIST-2414,pdu-332,repair,Medium,reseat_blade,0,0
HIST-2419,sfp-67,repair,Medium,reseat_blade,3,1
HIST-2424,srv-421,server,Medium,swap_psu,0,1
HIST-2427,pdu-403,electrical,Medium,swap_psu,5,1
HIST-2429,srv-250,power,Low,swap_psu,6,0
HIST-2443,blade-325,power,Medium,swap_psu,0,2
HIST-2447,srv-89,rails,Medium,install_server,0,1
HIST-2451,blade-354,server,Medium,install_server,7,1
HIST-2458,pdu-77,network,Medium,recable_port,1,1
HIST-2465,srv-357,power,Low,swap_psu,10,1
HIST-2466,sw-353,server,Medium,reseat_blade,6,1
HIST-2472,sfp-307,repair,Medium,reseat_blade,4,0
HIST-2475,pdu-100,server,Medium,reseat_blade,10,0
HIST-2479,sfp-125,optic,Medium,recable_port,3,1
HIST-2480,blade-348,repair,Medium,reseat_blade,13,0
HIST-2482,sw-213,server,Medium,install_server,7,0
HIST-2491,pdu-33,inventory,Critical,audit_label,7,0
HIST-2494,blade-442,network,Medium,recable_port,0,0
HIST-2502,srv-236,labeling,Medium,audit_label,10,1
HIST-2504,blade-161,power,Critical,swap_psu,4,1
HIST-2509,pdu-65,repair,Medium,reseat_blade,14,2
HIST-2510,pdu-375,server,Medium,install_server,9,0
HIST-2520,sfp-296,repair,High,reseat_blade,0,0
HIST-2546,sfp-174,optic,Low,recable_port,11,1
HIST-2557,blade-495,power,High,swap_psu,10,1
HIST-2561,srv-407,inventory,Medium,audit_label,9,0
HIST-2564,sfp-126,server,Medium,swap_psu,6,0
HIST-2575,srv-389,network,Medium,recable_port,0,1
HIST-2576,sfp-395,repair,High,reseat_blade,6,2
HIST-2591,sfp-363,repair,Critical,reseat_blade,0,0
HIST-2592,srv-246,power,High,swap_psu,4,0
HIST-2593,blade-290,electrical,Critical,swap_psu,9,0
HIST-2595,blade-444,rails,Medium,install_server,13,2
HIST-2603,srv-404,network,High,recable_port,0,0
HIST-2610,blade-160,power,High,swap_psu,0,0
HIST-2611,blade-213,network,Low,recable_port,2,0
HIST-2613,sw-118,inventory,Critical,audit_label,0,1
HIST-2616,pdu-426,repair,Medium,reseat_blade,1,0
HIST-2621,srv-368,labeling,Low,audit_label,10,1
HIST-2637,srv-180,inventory,Low,audit_label,6,1
HIST-2645,sfp-158,server,Medium,reseat_blade,0,0
HIST-2646,sw-232,cabling,Medium,recable_port,7,2
HIST-2648,pdu-249,optic,High,recable_port,0,0
HIST-2649,sfp-279,labeling,Low,audit_label,12,1
HIST-2652,srv-57,rails,High,install_server,0,1
HIST-2653,blade-52,cabling,Medium,recable_port,13,2
HIST-2656,srv-14,labeling,Medium,audit_label,7,0
HIST-2659,srv-138,repair,Medium,reseat_blade,0,2
HIST-2664,sw-61,electrical,High,swap_psu,14,2
HIST-2665,pdu-249,network,Medium,recable_port,11,0
HIST-2667,sfp-321,electrical,Low,swap_psu,4,2
HIST-2670,srv-80,server,High,swap_psu,11,0
HIST-2672,pdu-433,network,High,recable_port,10,1
HIST-2673,sw-24,install,Medium,install_server,2,2
HIST-2678,sw-17,server,Low,reseat_blade,0,1
HIST-2679,pdu-279,labeling,Critical,audit_label,4,1
HIST-2686,srv-167,electrical,Low,swap_psu,0,1
HIST-2692,sfp-398,cabling,Critical,recable_port,0,0
HIST-2722,sfp-243,cabling,High,recable_port,8,0
HIST-2726,sw-146,electrical,Medium,swap_psu,13,0
HIST-2728,sw-27,optic,Critical,recable_port,10,0
HIST-2733,srv-354,labeling,Critical,audit_label,12,0
HIST-2735,pdu-315,repair,Medium,reseat_blade,8,0
HIST-2740,sfp-285,power,Medium,swap_psu,0,2
HIST-2744,sw-282,install,Critical,install_server,12,0
HIST-2755,sw-371,server,Low,swap_psu,6,1
HIST-2762,pdu-19,repair,High,reseat_blade,0,1
HIST-2771,pdu-177,network,Medium,recable_port,0,0
HIST-2784,pdu-327,install,High,install_server,7,2
HIST-2785,srv-60,repair,Low,reseat_blade,1,0
HIST-2788,srv-315,repair,Low,reseat_blade,0,0
HIST-2793,srv-96,repair,Low,reseat_blade,13,0
HIST-2812,sfp-98,power,Medium,swap_psu,7,0
HIST-2816,sw-373,labeling,Medium,audit_label,0,0
HIST-2817,srv-52,server,Critical,swap_psu,0,1
HIST-2842,blade-469,cabling,High,recable_port,0,2
HIST-2868,pdu-500,rails,Medium,install_server,4,1
HIST-2881,srv-412,cabling,High,recable_port,0,1
HIST-2882,sw-359,server,High,swap_psu,0,1
HIST-2897,sw-482,labeling,Medium,audit_label,11,1
HIST-2899,sw-373,labeling,Low,audit_label,7,1
HIST-2911,sfp-421,server,Critical,reseat_blade,0,1
HIST-2913,sw-114,server,Medium,reseat_blade,6,1
HIST-2916,pdu-496,server,Low,install_server,5,0
HIST-2932,pdu-123,server,High,reseat_blade,10,0
HIST-2942,srv-385,repair,Low,reseat_blade,10,1
HIST-2946,sfp-92,server,Medium,install_server,0,2
HIST-2950,blade-425,inventory,Critical,audit_label,3,2
HIST-2957,sfp-96,inventory,Low,audit_label,0,2
HIST-2964,srv-460,server,High,reseat_blade,14,2
HIST-2968,sfp-156,server,Medium,reseat_blade,6,1
HIST-2981,sfp-219,install,Medium,install_server,11,0
HIST-2984,srv-346,cabling,Low,recable_port,0,0
HIST-2986,srv-274,inventory,Medium,audit_label,12,1
HIST-2989,sw-200,install,Medium,install_server,0,0
HIST-3005,srv-25,repair,Medium,reseat_blade,12,1
HIST-3023,sw-301,power,Medium,swap_psu,1,0
HIST-3025,blade-104,rails,Low,install_server,8,0
HIST-3031,sfp-389,inventory,Medium,audit_label,14,0
HIST-3032,sw-424,labeling,Medium,audit_label,0,1
HIST-3038,sw-292,server,Medium,reseat_blade,4,0
HIST-3039,srv-353,server,Low,reseat_blade,14,1
HIST-3044,sw-95,rails,Medium,install_server,0,1
HIST-3047,pdu-48,optic,Low,recable_port,0,2
HIST-3048,sw-405,power,Medium,swap_psu,8,0
HIST-3051,blade-259,server,Medium,reseat_blade,11,1
HIST-3053,blade-214,repair,High,reseat_blade,11,0
HIST-3059,blade-326,cabling,Medium,recable_port,4,0
HIST-3065,pdu-387,server,High,reseat_blade,0,0
HIST-3071,blade-378,server,High,reseat_blade,13,1
HIST-3078,sw-131,repair,Medium,reseat_blade,3,2
HIST-3085,srv-266,install,High,install_server,5,2
HIST-3086,sw-467,labeling,Critical,audit_label,1,1
HIST-3101,sfp-333,install,High,install_server,6,1
HIST-3102,blade-482,install,Medium,install_server,0,1
HIST-3110,srv-64,labeling,Low,audit_label,13,0
HIST-3112,pdu-247,repair,Medium,reseat_blade,2,1
HIST-3117,sw-391,repair,Medium,reseat_blade,7,1
HIST-3118,srv-429,labeling,High,audit_label,14,0
HIST-3122,blade-218,labeling,Medium,audit_label,10,1
HIST-3125,pdu-435,repair,Critical,reseat_blade,13,0
HIST-3131,sfp-482,electrical,Low,swap_psu,4,1
HIST-3133,sfp-125,server,Medium,swap_psu,0,0
HIST-3146,sfp-273,server,Medium,swap_psu,5,2
HIST-3148,pdu-223,labeling,High,audit_label,2,0
HIST-3163,sw-397,rails,Critical,install_server,0,0
HIST-3166,blade-447,labeling,Critical,audit_label,11,2
HIST-3167,sw-188,inventory,Low,audit_label,5,2
HIST-3171,pdu-469,repair,Medium,reseat_blade,6,0
HIST-3184,srv-402,install,Medium,install_server,1,0
HIST-3195,sw-500,rails,High,install_server,1,0
HIST-3196,pdu-255,network,Critical,recable_port,0,0
HIST-3205,blade-398,repair,High,reseat_blade,5,1
HIST-3207,srv-109,inventory,Low,audit_label,6,0
HIST-3211,blade-224,electrical,Medium,swap_psu,10,2
HIST-3221,sw-368,install,Critical,install_server,10,2
HIST-3243,pdu-385,server,Medium,reseat_blade,6,0
HIST-3244,blade-193,server,Medium,swap_psu,0,1
HIST-3252,sw-313,inventory,Low,audit_label,14,0
HIST-3254,blade-127,inventory,Medium,audit_label,8,1
HIST-3256,blade-183,network,High,recable_port,4,0
HIST-3264,blade-323,server,Critical,swap_psu,9,0
HIST-3270,blade-27,electrical,Medium,swap_psu,0,1
HIST-3285,sfp-429,rails,Low,install_server,0,0
HIST-3290,sfp-352,power,Low,swap_psu,8,2
HIST-3296,sfp-216,repair,Critical,reseat_blade,0,1
HIST-3304,srv-294,network,Low,recable_port,14,0
HIST-3306,blade-184,repair,Low,reseat_blade,0,0
HIST-3309,pdu-315,server,Medium,install_server,10,1
HIST-3329,sw-290,electrical,Medium,swap_psu,0,0
HIST-3330,sw-111,rails,Medium,install_server,13,0
HIST-3332,srv-213,network,Critical,recable_port,8,1
HIST-3338,srv-199,optic,Medium,recable_port,6,0
HIST-3360,pdu-21,server,High,install_server,10,0
HIST-3367,blade-29,server,Low,swap_psu,13,1
HIST-3375,srv-379,electrical,Medium,swap_psu,8,0
HIST-3379,sfp-242,server,Low,reseat_blade,5,0
HIST-3383,pdu-414,cabling,Medium,recable_port,1,0
HIST-3384,sw-184,repair,Medium,reseat_blade,0,1
HIST-3385,srv-224,optic,High,recable_port,0,1
HIST-3389,blade-191,inventory,Medium,audit_label,0,0
HIST-3393,sfp-326,cabling,Medium,recable_port,10,0
HIST-3396,srv-71,labeling,Critical,audit_label,0,1
HIST-3399,srv-313,server,High,reseat_blade,1,1
HIST-3401,sfp-409,server,High,reseat_blade,10,1
HIST-3412,blade-316,labeling,High,audit_label,8,0
HIST-3415,pdu-438,power,Medium,swap_psu,3,0
HIST-3419,blade-465,cabling,High,recable_port,0,0
HIST-3422,sw-322,inventory,Critical,audit_label,5,0
HIST-3430,sw-228,power,Medium,swap_psu,3,0
HIST-3435,srv-88,labeling,Critical,audit_label,0,0
HIST-3442,srv-1,server,Medium,swap_psu,0,0
HIST-3444,srv-429,cabling,High,recable_port,11,0
HIST-3450,srv-428,cabling,High,recable_port,3,2
HIST-3453,srv-310,inventory,Low,audit_label,13,0
HIST-3455,blade-26,optic,Medium,recable_port,3,1
HIST-3465,srv-398,server,Medium,install_server,14,0
HIST-3468,pdu-396,labeling,Medium,audit_label,0,1
HIST-3482,srv-106,server,Medium,install_server,11,0
HIST-3486,sfp-4,power,Medium,swap_psu,2,1
HIST-3487,sfp-322,cabling,High,recable_port,7,0
HIST-3497,sfp-390,install,Medium,install_server,3,2
HIST-3504,sw-227,install,Critical,install_server,0,1
HIST-3509,sw-41,cabling,Medium,recable_port,9,1
HIST-3517,srv-288,server,Critical,install_server,0,1
HIST-3524,blade-435,optic,Medium,recable_port,8,0
HIST-3530,pdu-270,labeling,High,audit_label,4,2
HIST-3533,blade-311,repair,Low,reseat_blade,8,0
HIST-3534,pdu-136,inventory,High,audit_label,0,1
HIST-3548,blade-190,labeling,High,audit_label,14,2
HIST-3551,pdu-317,inventory,High,audit_label,5,0
HIST-3552,srv-50,labeling,High,audit_label,11,0
HIST-3553,srv-300,inventory,Medium,audit_label,0,1
HIST-3562,pdu-248,network,Low,recable_port,7,0
HIST-3565,blade-492,inventory,Medium,audit_label,0,1
HIST-3572,sw-31,labeling,High,audit_label,9,0
HIST-3579,sw-14,rails,High,install_server,12,0
HIST-3585,sfp-489,inventory,Low,audit_label,8,0
HIST-3602,srv-1,server,Critical,install_server,5,1
HIST-3608,pdu-175,server,High,reseat_blade,0,0
HIST-3611,blade-151,server,Low,install_server,0,0
HIST-3614,pdu-32,inventory,Medium,audit_label,6,0
HIST-3615,sfp-356,inventory,High,audit_label,8,0
HIST-3617,sw-269,optic,Critical,recable_port,0,1
HIST-3624,srv-53,power,High,swap_psu,0,0
HIST-3628,sfp-88,electrical,Low,swap_psu,0,1
HIST-3640,pdu-379,install,High,install_server,0,0
HIST-3645,srv-70,repair,Medium,reseat_blade,0,0
HIST-3646,sw-353,server,Medium,swap_psu,12,0
HIST-3648,srv-171,cabling,Low,recable_port,0,0
HIST-3655,sw-358,power,High,swap_psu,0,0
HIST-3661,pdu-410,inventory,Medium,audit_label,6,1
HIST-3669,sfp-333,repair,High,reseat_blade,1,0
HIST-3681,sfp-452,optic,High,recable_port,7,0
HIST-3684,sw-273,server,High,reseat_blade,0,0
HIST-3703,sw-301,rails,Medium,install_server,12,1
HIST-3708,blade-10,rails,Low,install_server,0,1
HIST-3712,pdu-347,electrical,Low,swap_psu,6,2
HIST-3715,srv-254,inventory,Medium,audit_label,0,1
HIST-3718,sw-477,optic,Low,recable_port,1,1
HIST-3726,pdu-427,labeling,High,audit_label,0,2
HIST-3729,pdu-25,rails,Medium,install_server,0,2
HIST-3738,pdu-54,server,High,swap_psu,0,1
HIST-3740,srv-215,repair,Medium,reseat_blade,0,1
HIST-3757,blade-411,network,Medium,recable_port,0,0
HIST-3771,sw-166,cabling,High,recable_port,4,2
HIST-3772,sfp-214,optic,Medium,recable_port,5,0
HIST-3780,sfp-186,rails,Low,install_server,13,2
HIST-3781,sfp-388,repair,High,reseat_blade,6,1
HIST-3783,sfp-206,install,Medium,install_server,0,0
HIST-3785,srv-319,power,Medium,swap_psu,0,0
HIST-3786,sfp-15,network,Medium,recable_port,0,1
HIST-3798,blade-8,network,Low,recable_port,0,1
HIST-3811,srv-63,server,Critical,install_server,13,2
HIST-3813,sfp-464,labeling,High,audit_label,0,2
HIST-3815,pdu-418,network,Medium,recable_port,10,0
HIST-3817,srv-337,server,High,install_server,0,0
HIST-3819,srv-370,server,Medium,install_server,12,0
HIST-3820,sw-382,rails,High,install_server,13,1
HIST-3828,pdu-251,power,Low,swap_psu,0,0
HIST-3833,sw-306,rails,Medium,install_server,14,0
HIST-3839,blade-479,optic,High,recable_port,13,1
HIST-3841,blade-225,power,Low,swap_psu,5,2
HIST-3843,sfp-82,server,Critical,reseat_blade,0,0
HIST-3844,pdu-286,server,Low,reseat_blade,6,2
HIST-3845,sw-198,power,Low,swap_psu,10,2
